I try to give as much as I can to other people at Christmas.,Giving,,,,,,,,
I don't like seeing animals suffering.,Compassion to animals,,,,,,,,
I look after things I have borrowed from others.,Borrowed stuff,,,,,,,,
I feel lonely in life.,Loneliness,,,,,,,,
I used to cheat at school.,Cheating in school,,,,,,,,
I worry about my health.,Health,,,,,,,,
I wish I could change the past because of the things I have done.,Changing the past,,,,,,,,
I believe in God.,God,,,,,,,,
I always have good dreams.,Dreams,,,,,,,,
I always give to charity.,Charity,,,,,,,,
I have lots of friends.,Number of friends,,,,,,,,
Timekeeping.,Punctuality,,,,,,,,
Do you lie to others?,Lying,,,,,,,,
I am very patient.,Waiting,,,,,,,,
I can quickly adapt to a new environment.,New environment,,,,,,,,
My moods change quickly.,Mood swings,,,,,,,,
I am well mannered and I look after my appearance.,Appearence and gestures,,,,,,,,
I enjoy meeting new people.,Socializing,,,,,,,,
I always let other people know about my achievements.,Achievements,,,,,,,,
I think carefully before answering any important letters.,Responding to a serious letter,,,,,,,,
I enjoy childrens' company.,Children,,,,,,,,
I am not afraid to give my opinion if I feel strongly about something.,Assertiveness,,,,,,,,
I can get angry very easily.,Getting angry,,,,,,,,
I always make sure I connect with the right people.,Knowing the right people,,,,,,,,
I have to be well prepared before public speaking.,Public speaking,,,,,,,,
I will find a fault in myself if people don't like me.,Unpopularity,,,,,,,,
I cry when I feel down or things don't go the right way.,Life struggles,,,,,,,,
I am 100% happy with my life.,Happiness in life,,,,,,,,
I am always full of life and energy.,Energy levels,,,,,,,,
"I prefer big dangerous dogs to smaller, calmer dogs.",Small - big dogs,,,,,,,,
I believe all my personality traits are positive.,Personality,,,,,,,,
If I find something the doesn't belong to me I will hand it in.,Finding lost valuables,,,,,,,,
I find it very difficult to get up in the morning.,Getting up,,,,,,,,
I have many different hobbies and interests.,Interests or hobbies,,,,,,,,
I always listen to my parents' advice.,Parents' advice,,,,,,,,
I enjoy taking part in surveys.,Questionnaires or polls,,,,,,,,
How much time do you spend online?,Internet usage,,,,,,,,
I save all the money I can.,Finances,,,,,,,,
I enjoy going to large shopping centres.,Shopping centres,,,,,,,,
I prefer branded clothing to non branded.,Branded clothing,,,,,,,,
I spend a lot of money on  partying and socializing.,Entertainment spending,,,,,,,,
I spend a lot of money on my appearance.,Spending on looks,,,,,,,,
I spend a lot of money on gadgets.,Spending on gadgets,,,,,,,,
"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,,,,,,,,
Age,Age,,,,,,,,
Height,Height,,,,,,,,
Weight,Weight,,,,,,,,
How many siblings do you have?,Number of siblings,,,,,,,,
Gender,Gender,,,,,,,,
I am,Left - right handed,,,,,,,,
Highest education achieved,Education,,,,,,,,
I am the only child,Only child,,,,,,,,
I spent most of my childhood in a,Village - town,,,,,,,,
I lived most of my childhood in a,House - block of flats,,,,,,,,
